TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:18:589595  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884184203264  mmap                      addr: 0x0, length: 32768, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:589693  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884176265216  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:18:589706  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   36               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:18:589706  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   36     /80880   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:18:589755  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   36     /80880   132884184186880  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:589798  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   132884176130048  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:589821  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   150              recvfrom                  sockfd: 4, buf: 0x78db821d53a0, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:590276  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   67               write                     fd: 2, buf: 0x78db842437e0, count: 67
03:27:18:590382  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   165              sendto                    sockfd: 4, buf: 0x78db824c2f70, len: 165, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:590497  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   32               sendto                    sockfd: 4, buf: 0x78db82554820, len: 32, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:592182  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884175069184  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:18:592201  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   37               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db821d4a68, parent_tid: 0x78db821d4b68, child_tid: 0x78db84cc3f90, tls: 132884176128824
03:27:18:592306  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   132884165066752  mmap                      addr: 0x0, length: 10000053, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:592201  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   37     /80884   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db821d4a68, parent_tid: 0x78db821d4b68, child_tid: 0x78db84cc3f90, tls: 132884176128824
03:27:18:592378  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   0                recvfrom                  sockfd: 4, buf: 0x78db817483d0, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:592400  1cdeb56b485d  deploy-vuln-app: 0      Thread-31 (proc  1      /43819   36     /80880   0                close                     fd: 5
03:27:18:592405  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   37     /80884   132884184170496  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:592485  1cdeb56b485d  deploy-vuln-app: 0      Thread-32 (proc  1      /43819   37     /80884   132884174934016  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:592523  1cdeb56b485d  deploy-vuln-app: 0      Thread-32 (proc  1      /43819   37     /80884   150              recvfrom                  sockfd: 6, buf: 0x78db820b13c0, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
